analysis_code,analysis_label,source_file,source_line
83,Ischaemic heart disease,Analysis codes.do,84
84,"Pericarditis, endocarditis and myocarditis",Analysis codes.do,85
85,Cardiomyopathy,Analysis codes.do,86
86,Cerebrovascular disease,Analysis codes.do,87
87,Conduction disorders and other dysrythmias,Analysis codes.do,88
88,Aortic aneurism,Analysis codes.do,89
89,Peripheral vascular disorders,Analysis codes.do,90
90,Other circulatory diseases,Analysis codes.do,91
91,Copd,Analysis codes.do,92
92,Pneumoconiosis,Analysis codes.do,93
93,Asthma,Analysis codes.do,94
94,Other interstitial lung disease,Analysis codes.do,95
95,Other respiratory,Analysis codes.do,96
96,Peptic ulcer,Analysis codes.do,97
97,Appendicitis,Analysis codes.do,98
98,Intestinal obstruction and strangulated hernia,Analysis codes.do,99
99,Noninfective inflammatory bowel disease,Analysis codes.do,100
100,Cirrhosis and liver disease,Analysis codes.do,101
101,Gall bladder and bile duct disease,Analysis codes.do,102
102,Pancreatitis,Analysis codes.do,103
103,Other digestive,Analysis codes.do,104
104,Renal disease,Analysis codes.do,105
105,Benign prostatic hypertrophy,Analysis codes.do,106
106,Other urinary and gynaecological diseases,Analysis codes.do,107
107,Skin diseases,Analysis codes.do,108
108,Rheumatoid arthriis,Analysis codes.do,109
109,Osteoarthritis,Analysis codes.do,110
110,Back and neck pain,Analysis codes.do,111
111,Other muculo-skeletal,Analysis codes.do,112
112,Neural tube defects,Analysis codes.do,113
113,Cleft lip/palate,Analysis codes.do,114
114,Congenital heart anomalies,Analysis codes.do,115
115,Congenital disorders of GIT,Analysis codes.do,116
116,Urogenital malformations,Analysis codes.do,117
117,Fetal alcohol syndrome,Analysis codes.do,118
118,Down syndrome and other chromosomal anomalies,Analysis codes.do,119
119,Other chromosomal abnormalities,Analysis codes.do,120
120,Other congenital abnormalities,Analysis codes.do,121
121,Dental caries,Analysis codes.do,122
122,Periodontal disease,Analysis codes.do,123
123,Other oral diseases,Analysis codes.do,124
124,Road injuries,Analysis codes.do,125
125,Rail injury,Analysis codes.do,126
126,Other transport accidents,Analysis codes.do,127
127,Poisonings (including herbal),Analysis codes.do,128
128,Falls,Analysis codes.do,129
129,"Fires, heat and hot substances",Analysis codes.do,130
130,Drowning,Analysis codes.do,131
131,Other threats to breathing,Analysis codes.do,132
132,Mechanical forces: machinery,Analysis codes.do,133
133,Mechanical forces; firearm,Analysis codes.do,134
134,Mechanical forces: sharp object,Analysis codes.do,135
135,Exposure to natural forces,Analysis codes.do,136
136,Adverse effects of medical and surgical treatment,Analysis codes.do,137
137,Mining accidents,Analysis codes.do,138
138,Animal contact,Analysis codes.do,139
139,Other unintentional injuries,Analysis codes.do,140
140,Self-inflicted injuries,Analysis codes.do,141
141,Interpersonal violence with firearm,Analysis codes.do,142
142,Interpersonal violence without firearm,Analysis codes.do,143
143,Ill defined natural,Analysis codes.do,144
144,Ill defined,Analysis codes.do,145
145,Malignant neoplasm without specification of site,Analysis codes.do,146
146,Ill defined descriptions of heart disease and unspecified disorders of circulatory system,Analysis codes.do,147
147,Hypertension,Analysis codes.do,148
148,"Mental disorder, not otherwise specified",Analysis codes.do,149
149,Perinatal death unspecified cause,Analysis codes.do,150
150,Fetal death of unspecified cause,Analysis codes.do,151
151,Homicide unspecified means,Analysis codes.do,152
152,Unspecified sexually transmitted disease,Analysis codes.do,153
153,Unspecified intestinal parasitism,Analysis codes.do,154
154,Unspecified parasitic disease,Analysis codes.do,155
155,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Analysis codes.do,156
156,Malignant neoplasm of other and ill-defined digestive organs,Analysis codes.do,157
157,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Analysis codes.do,158
158,Unspecified transport accident,Analysis codes.do,159
159,Exposure to unspecified factor,Analysis codes.do,160
160,Injuries with Undetermined intent,Analysis codes.do,161
161,Septicaemia,Analysis codes.do,162
162,Seqence of hyperalimentation,Analysis codes.do,163
163,Volume depletion,Analysis codes.do,164
164,"Other disorders of fluid, electrolyte and acid-base balance",Analysis codes.do,165
165,Toxic encephalopathy,Analysis codes.do,166
166,Pulmonary embolism,Analysis codes.do,167
167,Atrioventricular and left bundle-branch block,Analysis codes.do,168
168,Other conduction disorders,Analysis codes.do,169
169,Arterial embolism and thrombosis,Analysis codes.do,170
170,Portal vein thrombosis,Analysis codes.do,171
171,Pneumonitis due to solids and liquids,Analysis codes.do,172
172,Adult respiratory distress syndrome,Analysis codes.do,173
173,Pulmonary oedema,Analysis codes.do,174
174,Oesophageal varices,Analysis codes.do,175
175,Pyothorax,Analysis codes.do,176
176,"Pleural effusion, not elsewhere classified",Analysis codes.do,177
177,Pneumothorax,Analysis codes.do,178
178,Other pleural conditions,Analysis codes.do,179
179,Peritonitis,Analysis codes.do,180
180,Other disorders of peritoneum,Analysis codes.do,181
181,Toxic liver disease,Analysis codes.do,182
182,"Hepatic failure, not elsewhere classified",Analysis codes.do,183
183,Other inflammatory liver diseases,Analysis codes.do,184
184,Haematemesis and melaena/other diseases of GIT,Analysis codes.do,185
185,Osteomyelitis,Analysis codes.do,186
186,Acute renal failure,Analysis codes.do,187
187,Chronic renal failure,Analysis codes.do,188
188,Unspecified renal failure,Analysis codes.do,189
189,"Gangrene, not elsewhere classified",Analysis codes.do,190
190,Ascites,Analysis codes.do,191
191,Sequelae of other and unspecified infectious and parasitic diseases,Analysis codes.do,192
192,Sequelae of malnutrition and other nutritional deficiencies,Analysis codes.do,193
193,Sequelae of inflammatory diseases of central nervous system,Analysis codes.do,194
194,Cerebral palsy,Analysis codes.do,195
195,Hemiplegia,Analysis codes.do,196
196,Paraplegia and tetraplegia,Analysis codes.do,197
197,Other paralytic syndromes,Analysis codes.do,198
198,Sequelae of transport accidents,Analysis codes.do,199
199,Sequelae of other accidents,Analysis codes.do,200
200,"Sequelae of intentional self-harm, assault and events of undetermined intent",Analysis codes.do,201
201,Sequelae of other external causes,Analysis codes.do,202
202,Disseminated intravascular coagulation [defibrination syndrome],Analysis codes.do,203
203,Cardiac arrest,Analysis codes.do,204
204,Other cardiac arrhythmias,Analysis codes.do,205
205,Heart failure,Analysis codes.do,206
