icd10,nbdcode,nbd_label,rule_type,source_file,source_line
E11,56,Diabetes mellitus,static,NBD215grProgram.do,93
E12,56,Diabetes mellitus,static,NBD215grProgram.do,93
E13,56,Diabetes mellitus,static,NBD215grProgram.do,93
E14,56,Diabetes mellitus,static,NBD215grProgram.do,93
E15,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E16,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E20,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E21,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E22,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E23,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E24,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E25,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E26,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E27,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E28,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E29,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E30,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E31,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E32,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,95
E34,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,94
E40,24,Protein-energy malnutrition,static,NBD215grProgram.do,59
E41,24,Protein-energy malnutrition,static,NBD215grProgram.do,59
E42,24,Protein-energy malnutrition,static,NBD215grProgram.do,59
E43,24,Protein-energy malnutrition,static,NBD215grProgram.do,59
E44,24,Protein-energy malnutrition,static,NBD215grProgram.do,59
E45,24,Protein-energy malnutrition,static,NBD215grProgram.do,59
E46,24,Protein-energy malnutrition,static,NBD215grProgram.do,59
E50,25,Vitamin A deficiency,static,NBD215grProgram.do,60
E51,27,Other nutritional disorders,static,NBD215grProgram.do,62
E52,27,Other nutritional disorders,static,NBD215grProgram.do,62
E53,27,Other nutritional disorders,static,NBD215grProgram.do,62
E54,27,Other nutritional disorders,static,NBD215grProgram.do,62
E55,27,Other nutritional disorders,static,NBD215grProgram.do,62
E56,27,Other nutritional disorders,static,NBD215grProgram.do,62
E57,27,Other nutritional disorders,static,NBD215grProgram.do,62
E58,27,Other nutritional disorders,static,NBD215grProgram.do,62
E59,27,Other nutritional disorders,static,NBD215grProgram.do,62
E60,27,Other nutritional disorders,static,NBD215grProgram.do,62
E61,27,Other nutritional disorders,static,NBD215grProgram.do,62
E62,27,Other nutritional disorders,static,NBD215grProgram.do,62
E63,27,Other nutritional disorders,static,NBD215grProgram.do,62
E64,192,Sequelae of malnutrition and other nutritional deficiencies,static,NBD215grProgram.do,240
E65,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E66,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E67,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E68,162,Seqence of hyperalimentation,static,NBD215grProgram.do,212
E70,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E71,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E72,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E73,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E74,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E75,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E76,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E77,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E78,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E79,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E80,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E83,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E84,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E85,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,96
E86,143,Ill defined natural,static,NBD215grProgram.do,192
E87,143,Ill defined natural,static,NBD215grProgram.do,192
E88,57,"Endocrine nutritional,blood and immune disorders",static,NBD215grProgram.do,94
F00,69,Alzheimer and other degenerative diseases of nervous system,static,NBD215grProgram.do,109
F01,69,Alzheimer and other degenerative diseases of nervous system,static,NBD215grProgram.do,109
F03,69,Alzheimer and other degenerative diseases of nervous system,static,NBD215grProgram.do,109
F04,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F05,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F06,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F07,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F09,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F10,61,Alcohol dependence,static,NBD215grProgram.do,100
F11,62,Drug use,static,NBD215grProgram.do,101
F12,62,Drug use,static,NBD215grProgram.do,101
F13,62,Drug use,static,NBD215grProgram.do,101
F14,62,Drug use,static,NBD215grProgram.do,101
F15,62,Drug use,static,NBD215grProgram.do,101
F16,62,Drug use,static,NBD215grProgram.do,101
F17,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F18,62,Drug use,static,NBD215grProgram.do,101
F19,62,Drug use,static,NBD215grProgram.do,101
F20,60,Schizophrenia,static,NBD215grProgram.do,99
F21,60,Schizophrenia,static,NBD215grProgram.do,99
F22,60,Schizophrenia,static,NBD215grProgram.do,99
F23,60,Schizophrenia,static,NBD215grProgram.do,99
F24,60,Schizophrenia,static,NBD215grProgram.do,99
F25,60,Schizophrenia,static,NBD215grProgram.do,99
F26,60,Schizophrenia,static,NBD215grProgram.do,99
F27,60,Schizophrenia,static,NBD215grProgram.do,99
F28,60,Schizophrenia,static,NBD215grProgram.do,99
F29,60,Schizophrenia,static,NBD215grProgram.do,99
F30,59,Bipolar,static,NBD215grProgram.do,98
F31,59,Bipolar,static,NBD215grProgram.do,98
F32,58,Unipolar,static,NBD215grProgram.do,97
F33,58,Unipolar,static,NBD215grProgram.do,97
F34,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F35,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F36,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F37,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F38,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F39,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F40,63,Anxiety disorders,static,NBD215grProgram.do,102
F41,63,Anxiety disorders,static,NBD215grProgram.do,102
F42,63,Anxiety disorders,static,NBD215grProgram.do,102
F43,63,Anxiety disorders,static,NBD215grProgram.do,102
F44,63,Anxiety disorders,static,NBD215grProgram.do,102
F45,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F46,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F47,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F48,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F50,64,Eating disorders,static,NBD215grProgram.do,103
F51,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F52,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F53,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F54,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F55,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F56,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F57,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F58,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F59,68,Other mental and behavioural disorders,static,NBD215grProgram.do,107
F60,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F61,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F62,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F63,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F64,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F65,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F66,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F67,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F68,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F69,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F70,67,Mental retardation not included as sequelae elsewhere,static,NBD215grProgram.do,106
F71,67,Mental retardation not included as sequelae elsewhere,static,NBD215grProgram.do,106
F72,67,Mental retardation not included as sequelae elsewhere,static,NBD215grProgram.do,106
F73,67,Mental retardation not included as sequelae elsewhere,static,NBD215grProgram.do,106
F78,67,Mental retardation not included as sequelae elsewhere,static,NBD215grProgram.do,106
F79,67,Mental retardation not included as sequelae elsewhere,static,NBD215grProgram.do,106
F80,65,Development disorders,static,NBD215grProgram.do,104
F81,65,Development disorders,static,NBD215grProgram.do,104
F82,65,Development disorders,static,NBD215grProgram.do,104
F84,65,Development disorders,static,NBD215grProgram.do,104
F88,65,Development disorders,static,NBD215grProgram.do,104
F89,65,Development disorders,static,NBD215grProgram.do,104
F90,66,Childhood behaviour disorders,static,NBD215grProgram.do,105
F91,66,Childhood behaviour disorders,static,NBD215grProgram.do,105
F92,66,Childhood behaviour disorders,static,NBD215grProgram.do,105
F93,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F94,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F95,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F96,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F97,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F98,68,Other mental and behavioural disorders,static,NBD215grProgram.do,108
F99,148,"Mental disorder, not otherwise specified",static,NBD215grProgram.do,198
G00,8,Meningitis,static,NBD215grProgram.do,19
G01,8,Meningitis,static,NBD215grProgram.do,19
G02,8,Meningitis,static,NBD215grProgram.do,19
G03,8,Meningitis,static,NBD215grProgram.do,19
G04,212,Encephalitis,static,NBD215grProgram.do,260
G05,8,Meningitis,static,NBD215grProgram.do,19
G06,75,Other neurological conditions,static,NBD215grProgram.do,116
G07,75,Other neurological conditions,static,NBD215grProgram.do,116
G08,75,Other neurological conditions,static,NBD215grProgram.do,116
G09,193,Sequelae of inflammatory diseases of central nervous system,static,NBD215grProgram.do,241
G10,75,Other neurological conditions,static,NBD215grProgram.do,116
G11,75,Other neurological conditions,static,NBD215grProgram.do,116
G12,75,Other neurological conditions,static,NBD215grProgram.do,116
G13,75,Other neurological conditions,static,NBD215grProgram.do,118
G14,75,Other neurological conditions,static,NBD215grProgram.do,118
G20,70,Parkisons disease,static,NBD215grProgram.do,111
G21,70,Parkisons disease,static,NBD215grProgram.do,111
G22,75,Other neurological conditions,static,NBD215grProgram.do,118
G23,75,Other neurological conditions,static,NBD215grProgram.do,118
G24,75,Other neurological conditions,static,NBD215grProgram.do,118
G25,75,Other neurological conditions,static,NBD215grProgram.do,118
G30,69,Alzheimer and other degenerative diseases of nervous system,static,NBD215grProgram.do,109
G31,69,Alzheimer and other degenerative diseases of nervous system,static,NBD215grProgram.do,109
G32,75,Other neurological conditions,static,NBD215grProgram.do,118
G35,71,Multiple sclerosis,static,NBD215grProgram.do,112
G36,75,Other neurological conditions,static,NBD215grProgram.do,116
G37,75,Other neurological conditions,static,NBD215grProgram.do,116
G40,72,Epilepsy,static,NBD215grProgram.do,113
G41,72,Epilepsy,static,NBD215grProgram.do,113
G43,73,Migraine,static,NBD215grProgram.do,114
G44,74,Non-migraine headache,static,NBD215grProgram.do,115
G45,75,Other neurological conditions,static,NBD215grProgram.do,116
G46,75,Other neurological conditions,static,NBD215grProgram.do,116
G47,75,Other neurological conditions,static,NBD215grProgram.do,116
G50,75,Other neurological conditions,static,NBD215grProgram.do,116
G51,75,Other neurological conditions,static,NBD215grProgram.do,116
G52,75,Other neurological conditions,static,NBD215grProgram.do,116
G53,75,Other neurological conditions,static,NBD215grProgram.do,116
G54,75,Other neurological conditions,static,NBD215grProgram.do,116
G55,75,Other neurological conditions,static,NBD215grProgram.do,116
G56,75,Other neurological conditions,static,NBD215grProgram.do,116
G57,75,Other neurological conditions,static,NBD215grProgram.do,116
G58,75,Other neurological conditions,static,NBD215grProgram.do,116
G59,75,Other neurological conditions,static,NBD215grProgram.do,116
G60,75,Other neurological conditions,static,NBD215grProgram.do,117
G61,75,Other neurological conditions,static,NBD215grProgram.do,117
G62,75,Other neurological conditions,static,NBD215grProgram.do,117
G63,75,Other neurological conditions,static,NBD215grProgram.do,117
G64,75,Other neurological conditions,static,NBD215grProgram.do,117
G70,75,Other neurological conditions,static,NBD215grProgram.do,117
G71,75,Other neurological conditions,static,NBD215grProgram.do,117
G72,75,Other neurological conditions,static,NBD215grProgram.do,117
G81,195,Hemiplegia,static,NBD215grProgram.do,243
G82,196,Paraplegia and tetraplegia,static,NBD215grProgram.do,244
G83,197,Other paralytic syndromes,static,NBD215grProgram.do,245
G90,75,Other neurological conditions,static,NBD215grProgram.do,117
G91,75,Other neurological conditions,static,NBD215grProgram.do,117
G92,165,Toxic encephalopathy,static,NBD215grProgram.do,213
G93,209,Other disorders of brain (encaphalitis),static,NBD215grProgram.do,257
G95,75,Other neurological conditions,static,NBD215grProgram.do,117
G96,75,Other neurological conditions,static,NBD215grProgram.do,117
G97,75,Other neurological conditions,static,NBD215grProgram.do,117
G98,75,Other neurological conditions,static,NBD215grProgram.do,117
H00,80,Other sense organ disorders,static,NBD215grProgram.do,123
H01,80,Other sense organ disorders,static,NBD215grProgram.do,123
H02,80,Other sense organ disorders,static,NBD215grProgram.do,123
H03,80,Other sense organ disorders,static,NBD215grProgram.do,123
H04,80,Other sense organ disorders,static,NBD215grProgram.do,123
H05,80,Other sense organ disorders,static,NBD215grProgram.do,123
H06,80,Other sense organ disorders,static,NBD215grProgram.do,123
