series_id,display_name,domain,hierarchy,cause_type,za_codes,denominator_za_codes,measure,unit,legacy_compare_names,legacy_rate_names,include_explorer,include_comparison,sort_order,notes
za_53,Non-Hodgkins lymphoma,natural,detailed,natural,53,,,,,,TRUE,FALSE,53,Direct ZA cause from the final NBD3 database.
za_54,Multiple myeloma,natural,detailed,natural,54,,,,,,TRUE,FALSE,54,Direct ZA cause from the final NBD3 database.
za_55,Leukaemia,natural,detailed,natural,55,,,,,,TRUE,FALSE,55,Direct ZA cause from the final NBD3 database.
za_56,Other malignant neoplasms,natural,detailed,natural,56,,,,,Other cancer,TRUE,FALSE,56,Direct ZA cause from the final NBD3 database.
za_57,Other neoplasms,natural,detailed,natural,57,,,,,,TRUE,FALSE,57,Direct ZA cause from the final NBD3 database.
za_58,Diabetes mellitus,natural,detailed,natural,58,,,,,,TRUE,FALSE,58,Direct ZA cause from the final NBD3 database.
za_59,"Endocrine nutritional,blood, immune",natural,detailed,natural,59,,,,,,TRUE,FALSE,59,Direct ZA cause from the final NBD3 database.
za_60,Unipolar depression,natural,detailed,natural,60,,,,,,TRUE,FALSE,60,Direct ZA cause from the final NBD3 database.
za_61,Bipolar affective,natural,detailed,natural,61,,,,,,TRUE,FALSE,61,Direct ZA cause from the final NBD3 database.
za_62,Schizophrenia,natural,detailed,natural,62,,,,,,TRUE,FALSE,62,Direct ZA cause from the final NBD3 database.
za_63,Alcohol dependence,natural,detailed,natural,63,,,,,,TRUE,FALSE,63,Direct ZA cause from the final NBD3 database.
za_64,Drug use,natural,detailed,natural,64,,,,,,TRUE,FALSE,64,Direct ZA cause from the final NBD3 database.
za_65,Anxiety disorders,natural,detailed,natural,65,,,,,,TRUE,FALSE,65,Direct ZA cause from the final NBD3 database.
za_66,Eating disorders,natural,detailed,natural,66,,,,,,TRUE,FALSE,66,Direct ZA cause from the final NBD3 database.
za_67,Development disorders,natural,detailed,natural,67,,,,,,TRUE,FALSE,67,Direct ZA cause from the final NBD3 database.
za_68,Childhood behaviour disorders,natural,detailed,natural,68,,,,,,TRUE,FALSE,68,Direct ZA cause from the final NBD3 database.
za_69,Mental retardation not included as sequelae elsewhere,natural,detailed,natural,69,,,,,,TRUE,FALSE,69,Direct ZA cause from the final NBD3 database.
za_70,Other mental and behavioural disorders,natural,detailed,natural,70,,,,,,TRUE,FALSE,70,Direct ZA cause from the final NBD3 database.
za_71,Alzheimer's,natural,detailed,natural,71,,,,,,TRUE,FALSE,71,Direct ZA cause from the final NBD3 database.
za_72,Parkinsons disease,natural,detailed,natural,72,,,,,,TRUE,FALSE,72,Direct ZA cause from the final NBD3 database.
za_73,Multiple sclerosis,natural,detailed,natural,73,,,,,,TRUE,FALSE,73,Direct ZA cause from the final NBD3 database.
za_74,Epilepsy,natural,detailed,natural,74,,,,,,TRUE,FALSE,74,Direct ZA cause from the final NBD3 database.
za_75,Migraine,natural,detailed,natural,75,,,,,,TRUE,FALSE,75,Direct ZA cause from the final NBD3 database.
za_76,Non-migraine headache,natural,detailed,natural,76,,,,,,TRUE,FALSE,76,Direct ZA cause from the final NBD3 database.
za_77,Other neurological conditions,natural,detailed,natural,77,,,,,,TRUE,FALSE,77,Direct ZA cause from the final NBD3 database.
za_78,Glaucoma,natural,detailed,natural,78,,,,,,TRUE,FALSE,78,Direct ZA cause from the final NBD3 database.
za_79,Cataracts,natural,detailed,natural,79,,,,,,TRUE,FALSE,79,Direct ZA cause from the final NBD3 database.
za_80,"Hearing loss, adult onset",natural,detailed,natural,80,,,,,,TRUE,FALSE,80,Direct ZA cause from the final NBD3 database.
za_81,Other vision loss,natural,detailed,natural,81,,,,,,TRUE,FALSE,81,Direct ZA cause from the final NBD3 database.
za_82,Other sense organ disorders,natural,detailed,natural,82,,,,,,TRUE,FALSE,82,Direct ZA cause from the final NBD3 database.
